Recording Codec,Recording Format,Sensor Active Image Area (photosites),Recording File Container Size (pixel),Recording File Image Content (pixel),Sensor Image Area (mm),Sensor Image Area (inch),Image Circle (mm),Image Circle (inch),Frame Size in MB,Frame Size in Byte,Max FPS
ProRes,HD,2880 x 1620,1920 x 1080,1920 x 1080,23.76 x 13.37,0.935 x 0.526,27.26,1.073,-,-,120
ProRes,2K,2880 x 1620,2048 x 1152,2048 x 1152,23.76 x 13.37,0.935 x 0.526,27.26,1.073,-,-,120
ProRes,3.2K,3200 x 1800,3200 x 1824,3200 x 1800,26.40 x 14.85,1.039 x 0.585,30.29,1.193,-,-,72
ProRes,4K UHD,3200 x 1800,3840 x 2160,3840 x 2160,26.40 x 14.85,1.039 x 0.585,30.29,1.193,-,-,50
ARRIRAW,2.8K,2880 x 1620,2880 x 1620,2880 x 1620,23.76 x 13.37,0.935 x 0.526,27.26,1.073,7.2,7.218.472,120
ARRIRAW,3.2K,3168 x 1782,3168 x 1782,3168 x 1782,26.14 x 14.70,1.029 x 0.579,29.99,1.181,8.7,8.688.136,120
ProRes,2.8K,2880 x 2160,2944 x 2176,2880 x 2160,23.76 x 17.82,0.935 x 0.702,29.70,1.169,-,-,60
ARRIRAW,2.8K,2880 x 2160,2880 x 2160,2880 x 2160,23.76 x 17.82,0.935 x 0.702,29.70,1.169,9.6,9.551.272,96
ProRes,2K Anamorphic,2560 x 2146,2048 x 858,2048 x 858,21.12 x 17.70,0.831 x 0.697,27.56,1.085,-,-,96
ProRes,4K Cine Anamorphic,2560 x 2146,4096 x 1716,4096 x 1716,21.12 x 17.70,0.831 x 0.697,27.56,1.085,-,-,60
ARRIRAW,2.6K,2592 x 2160,2592 x 2160,2578 x 2160,21.38 x 17.82,0.842 x 0.702,27.84,1.096,8.6,8.618.152,96
ProRes,3.4K,3424 x 2202,3456 x 2202,3424 x 2202,28.25 x 18.17,1.112 x 0.715,33.59,1.322,-,-,60
ProRes,4K Cine,3414 x 2198,4096 x 2636,4096 x 2636,28.17 x 18.13,1.109 x 0.714,33.50,1.319,-,-,48
ARRIRAW,3.4K,3424 x 2202,3424 x 2202,3424 x 2202,28.25 x 18.17,1.112 x 0.715,33.59,1.322,11.5,11.529.544,90
