Recording Codec,Recording Format,Sensor Active Image Area (photosites),Recording File Container Size (pixel),Recording File Image Content (pixel),Sensor Image Area (mm),Sensor Image Area (inch),Image Circle (mm),Image Circle (inch),Frame Size in MB,Frame Size in Byte,Max FPS
MPEG-2 (AMIRA only),HD,2880 x 1620,1920 x 1080,1920 x 1080,23.76 x 13.37,0.935 x 0.526,27.26,1.073,-,-,59.94
ProRes,S16 HD,1600 x 900,1920 x 1080,1920 x 1080,13.2 x 7.425,0.520 x 0.292,15.14,0.596,-,-,200
ProRes,HD,2880 x 1620,1920 x 1080,1920 x 1080,23.76 x 13.37,0.935 x 0.526,27.26,1.073,-,-,200
ProRes,HD Ana.*,1920 x 2160,1920 x 1080,1920 x 1080,15.84 x 17.82,0.624 x 0.702,23.84,0.939,-,-,120
ProRes,2K,2880 x 1612,2048 x 1152,2048 x 1152,23.66 x 13.30,0.932 x 0.524,27.14,1.069,-,-,200
ProRes,2.39:1 2K Ana.*,2560 x 2145,2048 x 858,2048 x 858,21.12 x 17.70,0.831 x 0.697,27.55,1.085,-,-,120
ProRes,4:3 2.8K*,2880 x 2160,2944 x 2160,2880 x 2160,23.76 x 17.82,0.935 x 0.702,29.70,1.169,-,-,50
ProRes,3.2K,3200 x 1800,3200 x 1800,3200 x 1800,26.40 x 14.85,1.039 x 0.585,30.29,1.193,-,-,60
ProRes,4K UHD,3200 x 1800,3840 x 2160,3840 x 2160,26.40 x 14.85,1.039 x 0.585,30.29,1.193,-,-,60
MXF/ARRIRAW,16:9 HD Ana. (OG 3.4K)*,3424 x 2202,1920 x 2160,1920 x 2160,15.84 x 17.82,0.624 x 0.702,23.84,0.939,11.5,11.529.544,30
MXF/ARRIRAW,2.39:1 2K Ana. (OG 3.4K)*,3424 x 2202,2560 x 2145,2560 x 2145,21.12 x 17.70,0.831 x 0.697,27.55,1.085,11.5,11.529.544,30
MXF/ARRIRAW,2.8K,2880 x 1620,2880 x 1620,2880 x 1620,23.76 x 13.37,0.935 x 0.526,27.26,1.073,7.2,7.218.472,48
MXF/ARRIRAW,4:3 2.8K (OG 3.4K)*,3424 x 2202,2880 x 2160,2880 x 2160,23.76 x 17.82,0.935 x 0.702,29.70,1.169,11.5,11.529.544,30
MXF/ARRIRAW,Open Gate 3.4K*,3424 x 2202,3424 x 2202,3424 x 2202,28.25 x 18.17,1.112 x 0.715,33.59,1.322,11.5,11.529.544,30
