Format,Resolution,Dimensions,Diag.,Max FPS,Unsqueezed,Squashed,Ratio
7K 4:3 2X,5040x3780,25.20x18.90,31.50,140,10080x3780,5040x1890,2.67:1
7K 6:5 2X,4536x3780,22.68x18.90,28.98,140,9072x3780,4536x1890,2.40:1
7K 1:1 2X,3780x3780,18.90x18.90,26.73,140,7560x3780,3780x1890,2.00:1
7K 3:2 1.8X,5670x3780,28.35x18.90,33.60,140,10206x3780,5670x2100,2.70:1
7K 4:3 1.8X,5040x3780,25.20x18.90,31.50,140,10080x3780,5040x2100,2.40:1
6K 3:2 1.8X,5670x3240,28.35x16.20,32.80,140,10206x3240,5670x1620,2.70:1
6K 4:3 1.8X,5040x3240,25.20x16.20,30.26,140,9072x3240,5040x1620,2.40:1
6K 17:9 1.3X,6144x3240,30.72x16.20,34.73,140,7680x3240,6144x2430,2.53:1
6K 2:1 1.3X,6144x3072,30.72x15.36,33.43,140,7680x3072,6144x2361,2.40:1
6K 16:9 1.3X,5760x3240,28.80x16.20,33.04,140,7680x3240,5760x2430,2.37:1
