Format,Resolution,Dimensions,Diag.,Max FPS
8K 17:9,8192x4320,26.21x13.82,29.64,120
8K 2:1,8192x4096,26.21x13.11,29.31,126
8K 2.4:1,8192x3456,26.21x11.04,28.31,150
8K 16:9,7680x4320,24.58x13.82,28.20,120
7K 17:9,7168x3780,22.94x12.10,25.93,140
7K 2:1,7168x3584,22.94x11.48,25.50,175
7K 2.4:1,7168x3024,22.94x9.69,24.02,175
7K 16:9,6720x3780,21.50x12.10,24.02,140
6K 17:9,6144x3240,19.66x10.37,22.23,160
6K 2:1,6144x3072,19.66x9.83,21.92,168
6K 2.4:1,6144x2592,19.66x8.30,20.64,192
6K 16:9,5760x3240,18.43x10.37,21.15,160
5K 17:9,5120x2700,16.38x8.64,18.54,192
5K 2:1,5120x2560,16.38x8.13,18.05,240
5K 2.4:1,5120x2160,16.38x6.90,17.22,240
5K 16:9,4800x2700,15.38x8.64,17.22,192
4K 17:9,4096x2160,13.11x6.91,14.82,240
4K 2:1,4096x2048,13.11x6.55,14.45,253
4K 2.4:1,4096x1716,13.11x5.50,13.02,300
4K 16:9,3840x2160,12.29x6.91,13.91,240
3K 17:9,3072x1620,9.83x5.18,11.11,300
3K 2:1,3072x1536,9.83x4.91,10.57,360
3K 2.4:1,3072x1286,9.83x4.11,9.50,400
3K 16:9,2880x1620,9.21x5.18,10.47,300
2K 17:9,2048x1080,6.55x3.46,7.41,480
2K 2:1,2048x1024,6.55x3.28,7.33,500
2K 2.4:1,2048x858,6.55x2.75,6.73,505
2K 16:9,1920x1080,6.14x3.46,7.05,480
