Format,Resolution,Dimensions,Diag.,Max FPS
8K 17:9,8192x4320,40.96x21.60,46.31,120
8K 2:1,8192x4096,40.96x20.48,45.79,126
8K 2.4:1,8192x3456,40.96x17.28,43.16,150
8K 16:9,7680x4320,38.40x21.60,44.06,120
7K 17:9,7168x3780,35.84x18.90,40.52,140
7K 2:1,7168x3584,35.84x17.92,39.44,175
7K 2.4:1,7168x3024,35.84x15.12,36.91,175
7K 16:9,6720x3780,33.60x18.90,37.91,140
6K 17:9,6144x3240,30.72x16.20,34.73,160
6K 2:1,6144x3072,30.72x15.36,33.83,168
6K 2.4:1,6144x2592,30.72x12.96,31.63,192
6K 16:9,5760x3240,28.80x16.20,33.04,160
5K 17:9,5120x2700,25.60x13.50,27.65,192
5K 2:1,5120x2560,25.60x12.80,26.72,240
5K 2.4:1,5120x2160,25.60x10.80,24.57,240
5K 16:9,4800x2700,24.00x13.50,24.57,192
4K 17:9,4096x2160,20.48x10.80,23.15,240
4K 2:1,4096x2048,20.48x10.24,22.35,253
4K 2.4:1,4096x1716,20.48x8.58,19.76,300
4K 16:9,3840x2160,19.20x10.80,22.03,240
3K 17:9,3072x1620,15.36x8.10,17.36,320
3K 2:1,3072x1536,15.36x7.68,16.47,360
3K 2.4:1,3072x1286,15.36x6.43,14.91,400
3K 16:9,2880x1620,14.40x8.10,16.14,300
2K 17:9,2048x1080,10.24x5.40,11.15,480
2K 2:1,2048x1024,10.24x5.12,11.45,500
2K 2.4:1,2048x858,10.24x4.29,10.32,505
2K 16:9,1920x1080,9.60x5.40,11.01,480
